CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
1,01. OPERACIONES EN EL SISTEMA NERVIOSO ,,
01.01,OPERACIONES EN EL CRANEO,CELDA VACÍA,DESCRIPCIÓN
10101,TRATAMIENTO QUIRURGICO DEL ENCEFALOMENINGOCELE                     ,1-010101,TRAT.QUIR.ENCEFALOMENINGOCELE                         
10102,TRATAMIENTO QUIRURGICO DE LA CRANEOSTENOSIS                          ,1-010102,TRAT.QUIR.CRANEOSTENOSIS                              
10103,CRANEOPLASTIAS CON INJERTO OSEO O PROTESICO (Incluye eventual toma de injerto),1-010103,CRANEOPLASTIAS CON INJERTO OSEO O PROTESICO           
10104,REDUCCION ABIERTA DE FRACTURA DE CRANEO - CON EXTRACCION DE FRAGMENTOS -              ,1-010104,REDUC.ABIERTA FRACT.CRANEO EXTRC.FRA                  
10105,"ESCISION DE LESION TUMORAL, INFECCIOSA DE HUESOS DEL CRANEO (Con o sin compromiso de estructuras vecinas).                ",1-010105,ESCISION DE LESION TUMORAL  INFEC.                   
10106,DESCOMPRENSION ORBITARIA UNILATERAL                    ,1-010106,DESCOMPRENSION ORBITARIOA UNIL                        
10107,RECONSTRUCCION CRANEAL CON PLANIFICACION 3D                  ,7-010712,SISTEMA DE RECONST CRANEAL 3D MOD                     
10109, CRANIECTOMIA DESCOMPRESIVA,7-019004,DESCOMPRENSIVA NEUROVASCULAR POR CRANIECTOMIA O CR    
10110,DESPLAQUETAMIENTO,,
01.02,OPERACIONES INTRACRANEANAS,CELDA VACÍA,
10201,VENTRICULOCISTERNOSTOMIAS                         ,1-010201,VENTRICULOCISTERNOSTOMIAS                             
10202,DERIVACION VENTRICULOAURICULA DERECHA-DERIVACION VENTRICULO PERITONEAL O SIMILAR (cualquier valvula)                 ,1-010202,DERIV.VENTRICULOAURICULA DER.                         
10203,REVISION DE VALVULAS DERIVATIVAS O RESTITUCION PARCIAL O TOTAL                 ,1-010203,REVI.VALVULAS DERIV.RESTI.PAR/TOT                     
10204,LOBECTOMIA PARCIAL TOTAL POR TRAUMATISMO O EPILEPSIA                ,1-010204,LOBECTOMIA PAR/TOT.TRAUM.EPILEPSIA                    
10205,TRACTOTOMIA ESPINOTALAMICA TRIGEMINAL MESENCEFALICA    ,1-010205,TRACTECTOMIA ESPINOSA TRIGEMINAL MESENCEFALICA        
10206,TRATAMIENTO QUIRURGICO DE LOS ANEURISMAS Y MALFORMACIONES ARTERIOVENOSAS               ,1-010206,TRAT.QUIR.ANEURIS.MALFOR.ARTERIOVE.                   
10207,"EVACUACION POR PUNCION DE COLECCIÓN INTERCEREBRAL, EPIDURAL, SUBDURAL Y/O SUBARACNOIDEA (hematoma, hidroma, absceso, etc)            ",1-010207,EVAC.PUN.COLEC.INTRCE.EPIDURAL                        
10208,"CRANEOTOMIA EXPLORADORA - CON O SIN BIOPSIA - (Evacuacion de colección, extraccion de cuerpo extraño)                      ",1-010208,CRANEOTOMIA EXPLO.C/S BIOPSIA                         
10209,REPARACION PLASTICA DE SENOS CRANEALES Y/O MENINGES              ,1-010209,REP.PLAST.SENOS CRANEA.Y/O MENINGES.                  
10210,ESCISION DE LESION TUMORAL INTRACRANEANA                ,1-010210,ESCIS.LESION TUMORAL INTRACRANEANA                    
10211,DRENAJE VENTRICULAR CONTINUO                      ,1-010211,DRENAJE VENTRICULAR CONTINUO                          
10212,EXTRACCION DE TUBOS EN OPERACIONES DERIVATIVAS CRANEANAS                  ,1-010212,EXT.TUBOS OPER.DERIVAT.CRANEANAS                      
10213,INTERVENCIONES ESTEREOTAXICAS POR DIVERSOS METODOS - INCLUYE RADIOCIRUGIA -                ,1-010213,INTERVENCIONES ESTEREOTAXICAS                         
10214,PUNCION DIAGNOSTICA O TERAPEUTICA DE VENTRICULO POR TREPANACION               ,1-010214,PUN.DIAG.TERAPEU.VENTRI.TREPANACION                   
10215,PUNCION TRANSFONTANELAR DE VENTRICULOS O SUBDURAL  (terapeutica o diagnostica)    ,1-010215,PUNC.TRANSFONTANELAR VENTR.SUBDURAL                   
10216,COLOCACION DE SET PARA MONITOREO DE PRESION INTRACRANEANA (SET DE PIC),1-010216,COLOCACION DE SET PARA MONIT.DE PRESION INTRACRANE    
10217,CIRUGIA DE LA HIPERTENSION CONGENITA ENDOCRANEANA POR FIBRA OPTICA,1-010217,CIRUG.DE HIPERTENSION CONG. ENDOCRANEANA POR FIBRA    
10218,CIRUGÍA RESECTIVA PARA TRATAMIENTO DE EPILEPSIA,,
10219,ANGIOPLASTIA QUIMICA (Para tratamiento de vasoespasmo cerebral u otros)               ,7-019402,ANGIOPLASTIA QUIMICA                                  
01.03,CIRUGIA VERTEBROMEDULAR,CELDA VACÍA,
10301,REPARACION DE DEFECTOS CONGENITOS DEL COMPLEJO VERTEBROMENINGOMEDULAR              ,1-010301,REP.DEFEC.CONGE.VERTEBROMENINGOMEDUL                  
10302,TRATAMIENTO QUIRURGICO DE LESIONES ADQUIRIDAS DEL COMPLEJO VERTEBROMENINGEOMEDULAR              ,1-010302,TRAT.QUIR.LES.VERTEBROMENINGEOMEDULA                  
10303,EXTIRPACION O LIGADURA DE ANEURISMAS O MALFORMACIONES ARTERIO-VENOSAS MEDULARES                ,1-010303,EXTIR.LIG.ANEURIS.MALFORM.ART.VEN.                    
10304,"CORDOTOMIA ESPINOTALAMICA, ANTERIOR, POSTERIOR, ANTEROLATERAL, MIELOTOMIA COMISURAL                         ",1-010304,CORDOTOMIA ESPINOTALAMICA                             
10305,"RIZOTOMIA, RADICOTOMIA POSTERIOR.                 ",1-010305,RIZOTOMIA  RADICOTOMIA POSTERIOR.                    
10306,SECCION DE LIGAMENTOS DENTADOS                    ,1-010306,SECCION DE LIGAMENTOS DENTADOS                        
10307,PUNCION RAQUIDEA DOBLE CON PRUEBA MANOMETRICAS      ,1-010307,PUNCION RAQUIDEA DOBLE C/PRUEBA MANOMETRICAS          
10308,PUNCION CISTERNAL CON O SIN MANOMETRIA                  ,1-010308,PUNCION CISTERNAL C/S MANOMETRIA                      
10309,PUNCION LUMBAR CON O SIN MANOMETRIA.              ,1-010309,PUNCION LUMBAR CON O SIN MANOMETRIA.                  
10310,VERTEBROPLASTIA PERCUTANEA CON CEMENTO ACRILICO DE POLIMETACRILATO DE METILO,1-010310,VERTEBROPLASTIA PERCUTANEA CON CEMENTO ACRILICO DE    
10311,COLOCACION DE NEUROESTIMULADOR ,7-019002,COLOCACION DE NEUROESTIMULADOR EPIDURAL               
10312,COLOCACION DE BOMBA DE INFUSION DE MEDICAMENTOS INTRATECALES,,
10313,RECARGA PARA BOMBA DE INFUSION,,
10314,RECALIBRACION DE BOMBA DE INFUSION DE MEDICAMENTOS INTRATECALES,,
10315,TRATAMIENTO ENDOVASCULAR DE PATOLOGIA EXTRACEREBRAL ,7-019010,ENDOVASCULAR TRATAMIENTO                              
01.04,INTERVENCIONES SOBRE PARES CRANEALES,CELDA VACÍA,
10401,NEUROTOMIA O DESCOMPRESION RETROGASERIANA TRIGEMINAL - Cualquier via -          ,1-010401,NEUROTOMIA DESCOMP.RETROGASERIANA                     
10402,NEUROLISIS TRANSOVAL DEL TRIGEMINO.               ,1-010402,NEUROLISIS TRANSOVAL DEL TRIGEMINO.                   
10403,"NEUROTOMIA DEL INTERMEDIARIO, VESTIBULAR O GLOSOFARINGEO             ",1-010403,NEUROTOMIA DEL INTERMEDIARIO                          
10404,INTERVENCIONES SOBRE NERVIOS OPTICOS              ,1-010404,INTERVENCIONES SOBRE NERVIOS OPTICOS                  
10405,"NEUROTOMIA DEL SUPRAORBITARIO, INFRAORBITARIO, DENTARIO INFERIOR, SUBOCCIPITAL Y TEMPORAL SUPERFICIAL",1-010405,NEUROTOMIA DEL SUPRAORBITARIO                         
